contest_name,smd_anc_votes,explicit_candidates,ward_ballots,over_votes,under_votes,ward_anc_votes,anc,smd,year,ward,winner,winner_votes,write_in_votes,smd_ballots
7C04,807,1,36248,NA,NA,25417,C,4,2012,7,WALTER J. GARCIA II,790,17,NA
7C05,778,1,36248,NA,NA,25417,C,5,2012,7,MARY L. GAFFNEY,752,26,NA
7C06,735,1,36248,NA,NA,25417,C,6,2012,7,SHERRIE LAWSON,724,11,NA
7C07,862,4,36248,NA,NA,25417,C,7,2012,7,ANTAWAN HOLMES,445,5,NA
7D01,986,2,36248,NA,NA,25417,D,1,2012,7,LISA WHITE,672,4,NA
7D02,97,0,36248,NA,NA,25417,D,2,2012,7,WRITE-IN,97,97,NA
7D03,631,1,36248,NA,NA,25417,D,3,2012,7,DONNA R. MUHAMMAD,619,12,NA
7D04,1079,1,36248,NA,NA,25417,D,4,2012,7,JO-ANNE PRUE,1054,25,NA
7D05,819,3,36248,NA,NA,25417,D,5,2012,7,JANIS D. HAZEL,337,20,NA
7D06,888,2,36248,NA,NA,25417,D,6,2012,7,ERICKA S. BLACK,649,5,NA
7D07,783,1,36248,NA,NA,25417,D,7,2012,7,WILLIE WOODS JR.,772,11,NA
70,959,1,36248,NA,NA,25417,E,1,2012,7,GEORGE B. BROWNE JR,916,43,NA
700,1026,2,36248,NA,NA,25417,E,2,2012,7,LINDA S. GREEN,562,15,NA
7000,672,2,36248,NA,NA,25417,E,3,2012,7,ROSA A. HAMLETT,464,22,NA
70000,773,2,36248,NA,NA,25417,E,4,2012,7,MARY D. JACKSON,481,15,NA
700000,596,1,36248,NA,NA,25417,E,5,2012,7,JEAN M. MCVEA,571,25,NA
7000000,137,0,36248,NA,NA,25417,E,6,2012,7,WRITE-IN,137,137,NA
70000000,825,2,36248,NA,NA,25417,E,7,2012,7,WENDELL FELDER,476,25,NA
7F01,807,1,36248,NA,NA,25417,F,1,2012,7,EVIE L. WASHINGTON,789,18,NA
7F02,993,1,36248,NA,NA,25417,F,2,2012,7,EBONI-ROSE THOMPSON,962,31,NA
7F03,657,1,36248,NA,NA,25417,F,3,2012,7,SHEILA M CARSON CARR,641,16,NA
7F04,612,1,36248,NA,NA,25417,F,4,2012,7,CHARLENE EXUM,601,11,NA
7F05,650,2,36248,NA,NA,25417,F,5,2012,7,KAREN SETTLES,448,3,NA
7F06,64,0,36248,NA,NA,25417,F,6,2012,7,WRITE-IN,64,64,NA
7F07,6,0,36248,NA,NA,25417,F,7,2012,7,WRITE-IN,6,6,NA
8A01,971,1,32521,NA,NA,19039,A,1,2012,8,HOLLY MUHAMMAD,935,36,NA
8A02,1046,2,32521,NA,NA,19039,A,2,2012,8,BARBARA J. CLARK,799,47,NA
8A03,886,1,32521,NA,NA,19039,A,3,2012,8,L. YVONNE (L.Y.) MOORE,834,52,NA
8A04,518,1,32521,NA,NA,19039,A,4,2012,8,MOSES SMITH,479,39,NA
8A05,847,2,32521,NA,NA,19039,A,5,2012,8,CHARLES E. WILSON,539,11,NA
8A06,1013,3,32521,NA,NA,19039,A,6,2012,8,KENDALL J. GRAHAM,441,19,NA
8A07,834,1,32521,NA,NA,19039,A,7,2012,8,NATALIE WILLIAMS,806,28,NA
8B01,749,1,32521,NA,NA,19039,B,1,2012,8,KHADIJAH WATSON,741,8,NA
8B02,71,0,32521,NA,NA,19039,B,2,2012,8,WRITE-IN,71,71,NA
8B03,819,1,32521,NA,NA,19039,B,3,2012,8,CHARLES H. WILSON,783,36,NA
8B04,713,2,32521,NA,NA,19039,B,4,2012,8,ANTHONY LORENZO,492,12,NA
8B05,480,1,32521,NA,NA,19039,B,5,2012,8,BETTY SCIPPIO,465,15,NA
8B06,505,1,32521,NA,NA,19039,B,6,2012,8,MITCHELL G. HAWKINS III,490,15,NA
8B07,428,1,32521,NA,NA,19039,B,7,2012,8,LOUISE THORNE,406,22,NA
8C01,61,0,32521,NA,NA,19039,C,1,2012,8,WRITE-IN,61,61,NA
8C02,699,3,32521,NA,NA,19039,C,2,2012,8,ALICIA FREMLING,282,12,NA
8C03,805,2,32521,NA,NA,19039,C,3,2012,8,MARY J. CUTHBERT,535,7,NA
8C04,77,0,32521,NA,NA,19039,C,4,2012,8,WRITE-IN,77,77,NA
8C05,361,1,32521,NA,NA,19039,C,5,2012,8,LLOYD T. LOGAN,351,10,NA
8C06,68,0,32521,NA,NA,19039,C,6,2012,8,WRITE-IN,68,68,NA
8C07,723,1,32521,NA,NA,19039,C,7,2012,8,PHO PALMER,704,19,NA
