contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes,commissioner_name,match,vacant,switcharoo,substantive_write_in,absent,empty
6D04,2018,6,D,4,1248,1071,1,Andy Litsky,1019,52,1,176,Andy Litsky,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6D05,2018,6,D,5,1180,1016,2,Anthony Dale,553,26,1,163,Anthony Dale,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6D06,2018,6,D,6,848,745,1,Rhonda Natalie Hamilton,705,40,0,103,Rhonda N. Hamilton,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6D07,2018,6,D,7,2108,1739,3,Edward Daniels,847,86,1,368,Edward Daniels,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6E01,2018,6,E,1,1214,1047,2,Alexander M. Alex Padro,631,16,0,167,Alexander M. "Alex" Padro,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6E02,2018,6,E,2,1054,881,2,Michael J. Brown,423,45,2,171,Michael J. Brown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6E03,2018,6,E,3,623,541,1,Frank Wiggins,504,37,2,80,Frank S. Wiggins,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6E04,2018,6,E,4,1089,857,1,David Jaffe,646,211,0,232,Vacant,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
6E05,2018,6,E,5,1518,1327,1,Alex Marriott,1263,64,0,191,Alex Marriott,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6E06,2018,6,E,6,237,196,1,Alvin Judd SR,184,12,0,41,Alvin Judd Sr.,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
6E07,2018,6,E,7,820,691,1,Kevin M. Rogers,624,67,1,128,Kevin M. Rogers,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7B01,2018,7,B,1,717,589,1,Patricia Howard-Chittams,554,35,0,128,Patricia Howard-Chittams,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7B02,2018,7,B,2,746,663,1,Tiffany L. Brown,638,25,0,83,Tiffany L. Brown,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7B03,2018,7,B,3,647,82,1,WRITE-IN,82,82,0,565,Benjamin Crane,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7B04,2018,7,B,4,1083,979,2,Nicole Smith-McDermott,524,34,1,103,Nicole Smith-McDermott,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7B05,2018,7,B,5,746,708,2,Villareal VJ Johnson,359,9,0,38,Villareal "VJ" Johnson II,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7B06,2018,7,B,6,952,865,2,April Pradier,326,220,1,86,April Pradier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7B07,2018,7,B,7,1041,927,2,D.L. Humphrey,524,36,1,113,D. L. Humphrey,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7C01,2018,7,C,1,565,494,2,Patricia Malloy,297,18,0,71,Patricia A. Malloy,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7C02,2018,7,C,2,645,552,2,Lawrence Bryant Davin,330,21,0,93,Lawrence Davin,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7C03,2018,7,C,3,591,508,1,Catherine A. Woods,480,28,0,83,Catherine A. Woods,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7C04,2018,7,C,4,766,669,1,Anthony Lorenzo Green,635,34,0,97,Anthony Lorenzo Green,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7C05,2018,7,C,5,684,580,1,Mary L. Gaffney,542,38,1,103,Mary L. Gaffney,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7C06,2018,7,C,6,580,93,1,WRITE-IN,93,93,0,487,Arnold Smith,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
7C07,2018,7,C,7,586,541,2,Antawan Holmes,373,7,0,45,Antawan Holmes,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7D01,2018,7,D,1,888,855,3,Tamara Blair,483,5,1,32,Tamara Blair,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7D02,2018,7,D,2,722,562,1,Siraaj Hasan,533,29,0,160,Siraaj M. Hasan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
