precinct,ward,anc,year,registered_voters,ballots
111,7,B,2018,3048,1135
112,8,A,2018,2701,977
113,7,B,2018,2640,1254
114,8,A,2018,4736,1301
114,8,B,2018,4736,1301
115,8,B,2018,3654,870
116,8,B,2018,5071,1400
116,8,E,2018,5071,1400
117,8,E,2018,2631,922
118,8,A,2018,3430,1109
118,8,B,2018,3430,1109
118,8,C,2018,3430,1109
119,8,A,2018,3497,1000
119,8,C,2018,3497,1000
120,8,C,2018,2465,962
120,8,E,2018,2465,962
121,8,C,2018,4209,1351
121,8,E,2018,4209,1351
122,8,C,2018,2209,807
123,8,C,2018,3198,1091
123,8,D,2018,3198,1091
124,8,C,2018,3229,1180
124,8,D,2018,3229,1180
125,8,D,2018,5590,1643
125,8,E,2018,5590,1643
126,8,D,2018,5031,1482
127,6,D,2018,5642,2790
128,6,D,2018,3510,1675
129,2,A,2018,3882,1778
129,2,C,2018,3882,1778
129,2,D,2018,3882,1778
129,2,F,2018,3882,1778
130,6,B,2018,1386,732
130,6,C,2018,1386,732
131,6,B,2018,5673,3120
131,6,D,2018,5673,3120
132,7,B,2018,2566,904
132,7,F,2018,2566,904
133,8,A,2018,1593,691
134,8,B,2018,2678,950
135,5,E,2018,4057,1965
136,3,C,2018,1255,699
137,1,B,2018,1570,798
138,3,F,2018,3051,1797
138,3,G,2018,3051,1797
139,5,C,2018,2989,1532
140,8,A,2018,2267,803
141,2,B,2018,3603,1865
142,6,D,2018,2702,1518
143,2,C,2018,2681,1234
