contest_name,year,ward,anc,smd,smd_ballots,smd_anc_votes,explicit_candidates,winner,winner_votes,write_in_votes,over_votes,under_votes
7C02,2012,7,C,02,NA,733,1,GREGORI STEWART,722,11,NA,NA
7C03,2012,7,C,03,NA,816,1,CATHERINE A. WOODS,800,16,NA,NA
7C04,2012,7,C,04,NA,807,1,WALTER J. GARCIA II,790,17,NA,NA
7C05,2012,7,C,05,NA,778,1,MARY L. GAFFNEY,752,26,NA,NA
7C06,2012,7,C,06,NA,735,1,SHERRIE LAWSON,724,11,NA,NA
7C07,2012,7,C,07,NA,862,4,ANTAWAN HOLMES,445,5,NA,NA
7D01,2012,7,D,01,NA,986,2,LISA WHITE,672,4,NA,NA
7D02,2012,7,D,02,NA,97,0,WRITE-IN,97,97,NA,NA
7D03,2012,7,D,03,NA,631,1,DONNA R. MUHAMMAD,619,12,NA,NA
7D04,2012,7,D,04,NA,1079,1,JO-ANNE PRUE,1054,25,NA,NA
7D05,2012,7,D,05,NA,819,3,JANIS D. HAZEL,337,20,NA,NA
7D06,2012,7,D,06,NA,888,2,ERICKA S. BLACK,649,5,NA,NA
7D07,2012,7,D,07,NA,783,1,WILLIE WOODS JR.,772,11,NA,NA
7E01,2012,7,E,01,NA,959,1,GEORGE B. BROWNE JR,916,43,NA,NA
7E02,2012,7,E,02,NA,1026,2,LINDA S. GREEN,562,15,NA,NA
7E03,2012,7,E,03,NA,672,2,ROSA A. HAMLETT,464,22,NA,NA
7E04,2012,7,E,04,NA,773,2,MARY D. JACKSON,481,15,NA,NA
7E05,2012,7,E,05,NA,596,1,JEAN M. MCVEA,571,25,NA,NA
7E06,2012,7,E,06,NA,137,0,WRITE-IN,137,137,NA,NA
7E07,2012,7,E,07,NA,825,2,WENDELL FELDER,476,25,NA,NA
7F01,2012,7,F,01,NA,807,1,EVIE L. WASHINGTON,789,18,NA,NA
7F02,2012,7,F,02,NA,993,1,EBONI-ROSE THOMPSON,962,31,NA,NA
7F03,2012,7,F,03,NA,657,1,SHEILA M CARSON CARR,641,16,NA,NA
7F04,2012,7,F,04,NA,612,1,CHARLENE EXUM,601,11,NA,NA
7F05,2012,7,F,05,NA,650,2,KAREN SETTLES,448,3,NA,NA
7F06,2012,7,F,06,NA,64,0,WRITE-IN,64,64,NA,NA
7F07,2012,7,F,07,NA,6,0,WRITE-IN,6,6,NA,NA
8A01,2012,8,A,01,NA,971,1,HOLLY MUHAMMAD,935,36,NA,NA
8A02,2012,8,A,02,NA,1046,2,BARBARA J. CLARK,799,47,NA,NA
8A03,2012,8,A,03,NA,886,1,L. YVONNE (L.Y.) MOORE,834,52,NA,NA
8A04,2012,8,A,04,NA,518,1,MOSES SMITH,479,39,NA,NA
8A05,2012,8,A,05,NA,847,2,CHARLES E. WILSON,539,11,NA,NA
8A06,2012,8,A,06,NA,1013,3,KENDALL J. GRAHAM,441,19,NA,NA
8A07,2012,8,A,07,NA,834,1,NATALIE WILLIAMS,806,28,NA,NA
8B01,2012,8,B,01,NA,749,1,KHADIJAH WATSON,741,8,NA,NA
8B02,2012,8,B,02,NA,71,0,WRITE-IN,71,71,NA,NA
8B03,2012,8,B,03,NA,819,1,CHARLES H. WILSON,783,36,NA,NA
8B04,2012,8,B,04,NA,713,2,ANTHONY LORENZO,492,12,NA,NA
8B05,2012,8,B,05,NA,480,1,BETTY SCIPPIO,465,15,NA,NA
8B06,2012,8,B,06,NA,505,1,MITCHELL G. HAWKINS III,490,15,NA,NA
8B07,2012,8,B,07,NA,428,1,LOUISE THORNE,406,22,NA,NA
8C01,2012,8,C,01,NA,61,0,WRITE-IN,61,61,NA,NA
8C02,2012,8,C,02,NA,699,3,ALICIA FREMLING,282,12,NA,NA
8C03,2012,8,C,03,NA,805,2,MARY J. CUTHBERT,535,7,NA,NA
8C04,2012,8,C,04,NA,77,0,WRITE-IN,77,77,NA,NA
8C05,2012,8,C,05,NA,361,1,LLOYD T. LOGAN,351,10,NA,NA
8C06,2012,8,C,06,NA,68,0,WRITE-IN,68,68,NA,NA
8C07,2012,8,C,07,NA,723,1,PHO PALMER,704,19,NA,NA
8D01,2012,8,D,01,NA,720,1,PATRICIA PAT CARMON,696,24,NA,NA
8D02,2012,8,D,02,NA,735,1,OLIVIA L. HENDERSON,716,19,NA,NA
8D03,2012,8,D,03,NA,570,1,ABSALOM "AB" JORDAN,555,15,NA,NA
8D04,2012,8,D,04,NA,483,1,M. JAY LEE,475,8,NA,NA
8D05,2012,8,D,05,NA,71,0,WRITE-IN,71,71,NA,NA
8D06,2012,8,D,06,NA,840,1,THEA DYSON,818,22,NA,NA
8D07,2012,8,D,07,NA,463,1,THERESA H. JONES,451,12,NA,NA
8E01,2012,8,E,01,NA,88,0,WRITE-IN,88,88,NA,NA
8E02,2012,8,E,02,NA,705,1,ANTHONY MUHAMMAD,686,19,NA,NA
8E03,2012,8,E,03,NA,35,0,WRITE-IN,35,35,NA,NA
8E04,2012,8,E,04,NA,117,0,WRITE-IN,117,117,NA,NA
8E05,2012,8,E,05,NA,64,0,WRITE-IN,64,64,NA,NA
8E06,2012,8,E,06,NA,624,1,KARLENE (K.) ARMSTEAD,604,20,NA,NA
8E07,2012,8,E,07,NA,850,1,SANDRA (SV) WILLIAMS,817,33,NA,NA
1A01,2014,1,A,01,333,239,2,MARVIN L. JOHNSON,168,5,0,94
1A02,2014,1,A,02,616,422,1,JOSUE SALMERON,399,23,0,194
1A03,2014,1,A,03,413,51,1,WRITE-IN,51,51,0,362
1A04,2014,1,A,04,576,386,2,MATTHEW GOLDSCHMIDT,254,8,0,190
1A05,2014,1,A,05,395,82,1,WRITE-IN,82,82,0,313
1A06,2014,1,A,06,554,423,1,PATRICK W. FLYNN,406,17,0,131
1A07,2014,1,A,07,647,457,1,DARWAIN FROST,426,31,1,189
1A08,2014,1,A,08,794,601,1,KENT BOESE,586,15,0,193
1A09,2014,1,A,09,443,363,2,BOBBY HOLMES,209,6,0,80
1A10,2014,1,A,10,604,505,1,RASHIDA BROWN,481,24,0,99
1A11,2014,1,A,11,492,333,1,DOTTI LOVE WADE,307,26,0,159
1A12,2014,1,A,12,459,308,2,MARGARET HUNDLEY,186,5,0,151
1B01,2014,1,B,01,696,544,1,BRIAN FOOTER,520,24,0,152
1B02,2014,1,B,02,872,598,2,ELLEN NEDROW SULLIVAN,384,25,0,274
1B03,2014,1,B,03,568,425,2,SEDRICK MUHAMMAD,221,6,0,143
1B04,2014,1,B,04,764,538,1,KEVIN CAIN,511,27,0,226
1B05,2014,1,B,05,618,422,1,NICOLAS FERREYROS,404,18,0,196
1B06,2014,1,B,06,582,419,2,DYANA NM FORESTER,204,12,0,163
1B07,2014,1,B,07,303,247,2,JESSICA LAURA SMITH,141,4,0,56
1B08,2014,1,B,08,577,374,1,MARK RANSLEM,350,24,0,203
1B09,2014,1,B,09,580,442,1,JAMES A. TURNER,412,30,0,138
1B10,2014,1,B,10,148,115,2,ALLYSON N. CARPENTER,79,3,0,33
1B11,2014,1,B,11,313,225,1,ROBB HUDSON,209,16,0,88
1B12,2014,1,B,12,815,657,2,JOHN C. GREEN,393,7,0,158
1C01,2014,1,C,01,812,554,1,SAMANTHA P. HICKS,533,21,0,258
1C02,2014,1,C,02,867,609,1,HECTOR HUEZO,595,14,0,258
1C03,2014,1,C,03,791,549,1,TED GUTHRIE,526,23,0,242
1C04,2014,1,C,04,793,608,1,GABRIELA MOSSI,594,14,0,185
1C05,2014,1,C,05,646,422,1,ALAN GAMBRELL,397,25,0,224
1C06,2014,1,C,06,666,457,1,WILLIAM (BILLY) SIMPSON,437,20,0,209
